14028S	D23580	LT2	SL1344	ST4-74
STM14_RS21105	D5R57_RS21965	STM4011	SL1344_RS20605	STM474_RS20605
STM14_RS21100	D5R57_RS21960	STM4010	SL1344_RS20600	STM474_RS20600
STM14_RS21090	D5R57_RS21945	STM4007	SL1344_RS20590	STM474_RS20590
STM14_RS21085	D5R57_RS21935	STM4006	SL1344_RS20585	STM474_RS20585
STM14_RS21080	D5R57_RS21930	STM4005	SL1344_RS20580	STM474_RS20580
STM14_RS21060	D5R57_RS21905	STM4001	SL1344_RS20560	STM474_RS20560
STM14_RS21045	D5R57_RS21890	STM3998	SL1344_RS20545	STM474_RS20545
STM14_RS21025	D5R57_RS21870	STM3994	SL1344_RS20525	STM474_RS20525
STM14_RS21020	D5R57_RS21865	STM3993	SL1344_RS20520	STM474_RS20520
STM14_RS20970	D5R57_RS21810	STM3983	SL1344_RS20470	STM474_RS20470
STM14_RS20965	D5R57_RS21805	STM3982	SL1344_RS20465	STM474_RS20465
STM14_RS20945	D5R57_RS21785	STM3977	SL1344_RS20445	STM474_RS20445
STM14_RS20895	D5R57_RS21735	STM3967	SL1344_RS20395	STM474_RS20395
STM14_RS20880	D5R57_RS21720	STM3964	SL1344_RS20380	STM474_RS20380
STM14_RS20860	D5R57_RS21700	STM3960	SL1344_RS20360	STM474_RS20360
STM14_RS20840	D5R57_RS21680	STM3956	SL1344_RS20340	STM474_RS20340
STM14_RS20835	D5R57_RS21675	STM3955	SL1344_RS20335	STM474_RS20335
STM14_RS20830	D5R57_RS21670	STM3954	SL1344_RS20330	STM474_RS20330
STM14_RS20825	D5R57_RS21665	STM3953	SL1344_RS20325	STM474_RS20325
STM14_RS20785	D5R57_RS21610	STM3944	SL1344_RS20285	STM474_RS20285
STM14_RS20780	D5R57_RS21605	STM3943	SL1344_RS20280	STM474_RS20280
STM14_RS20755	D5R57_RS21580	STM3938	SL1344_RS20255	STM474_RS20255
STM14_RS20750	D5R57_RS21575	STM3937	SL1344_RS20250	STM474_RS20250
STM14_RS20745	D5R57_RS21570	STM3936	SL1344_RS20245	STM474_RS20245
STM14_RS20740	D5R57_RS21565	STM3935	SL1344_RS20240	STM474_RS20240
STM14_RS20640	D5R57_RS21460	STM3914	SL1344_RS20140	STM474_RS20140
STM14_RS20635	D5R57_RS21450	STM3913	SL1344_RS20135	STM474_RS20135
STM14_RS20620	D5R57_RS21430	STM3910	SL1344_RS20120	STM474_RS20120
STM14_RS20610	D5R57_RS21420	STM3908	SL1344_RS20110	STM474_RS20110
STM14_RS20565	D5R57_RS21375	STM3899	SL1344_RS20065	STM474_RS20065
STM14_RS20555	D5R57_RS21365	STM3897	SL1344_RS20055	STM474_RS20055
STM14_RS20520	D5R57_RS21330	STM3888	SL1344_RS20020	STM474_RS20020
STM14_RS20475	D5R57_RS21285	STM3879	SL1344_RS19970	STM474_RS19970
STM14_RS20470	D5R57_RS21280	STM3878	SL1344_RS19965	STM474_RS19965
STM14_RS20460	D5R57_RS21270	STM3876	SL1344_RS19955	STM474_RS19955
STM14_RS20455	D5R57_RS21265	STM3875	SL1344_RS19950	STM474_RS19950
STM14_RS20450	D5R57_RS21255	STM3874	SL1344_RS19945	STM474_RS19945
STM14_RS20445	D5R57_RS21250	STM3873	SL1344_RS19940	STM474_RS19940
STM14_RS20440	D5R57_RS21245	STM3872	SL1344_RS19935	STM474_RS19935
STM14_RS20435	D5R57_RS21240	STM3871	SL1344_RS19930	STM474_RS19930
STM14_RS20430	D5R57_RS21235	STM3870	SL1344_RS19925	STM474_RS19925
STM14_RS20425	D5R57_RS21230	STM3869	SL1344_RS19920	STM474_RS19920
STM14_RS20420	D5R57_RS21225	STM3868	SL1344_RS19915	STM474_RS19915
STM14_RS20415	D5R57_RS21220	STM3867	SL1344_RS19910	STM474_RS19910
STM14_RS20410	D5R57_RS21215	STM3866	SL1344_RS19905	STM474_RS19905
STM14_RS20405	D5R57_RS21210	STM3865	SL1344_RS19900	STM474_RS19900
STM14_RS20400	D5R57_RS21205	STM3864	SL1344_RS19895	STM474_RS19895
STM14_RS20395	D5R57_RS21200	STM3863	SL1344_RS19890	STM474_RS19890
STM14_RS20390	D5R57_RS21190	STM3862	SL1344_RS19885	STM474_RS19885
STM14_RS20385	D5R57_RS21185	STM3861	SL1344_RS19880	STM474_RS19880
STM14_RS20375	D5R57_RS21175	STM3859	SL1344_RS19870	STM474_RS19870
STM14_RS20370	D5R57_RS21170	STM3858	SL1344_RS19865	STM474_RS19865
STM14_RS20365	D5R57_RS21165	STM3857	SL1344_RS19860	STM474_RS19860
STM14_RS20360	D5R57_RS21160	STM3856	SL1344_RS19855	STM474_RS19855
STM14_RS20355	D5R57_RS21155	STM3855	SL1344_RS19850	STM474_RS19850
STM14_RS20350	D5R57_RS21150	STM3854	SL1344_RS19845	STM474_RS19845
STM14_RS20345	D5R57_RS21145	STM3853	SL1344_RS19840	STM474_RS19840
STM14_RS20335	D5R57_RS21135	STM3851	SL1344_RS19830	STM474_RS19830
STM14_RS20265	D5R57_RS21055	STM3838	SL1344_RS19760	STM474_RS19760
STM14_RS20260	D5R57_RS21050	STM3837	SL1344_RS19755	STM474_RS19755
STM14_RS20255	D5R57_RS21045	STM3836	SL1344_RS19750	STM474_RS19750
STM14_RS20250	D5R57_RS21040	STM3835	SL1344_RS19745	STM474_RS19745
STM14_RS20230	D5R57_RS21020	STM3831	SL1344_RS19725	STM474_RS19725
STM14_RS20225	D5R57_RS21015	STM3830	SL1344_RS19720	STM474_RS19720
STM14_RS20220	D5R57_RS21010	STM3829	SL1344_RS19715	STM474_RS19715
STM14_RS20210	D5R57_RS21000	STM3828	SL1344_RS19705	STM474_RS19705
STM14_RS20205	D5R57_RS20995	STM3827	SL1344_RS19700	STM474_RS19700
STM14_RS20195	D5R57_RS20985	STM3825	SL1344_RS19690	STM474_RS19690
STM14_RS20185	D5R57_RS20975	STM3823	SL1344_RS19680	STM474_RS19680
STM14_RS20180	D5R57_RS20970	STM3822	SL1344_RS19675	STM474_RS19675
STM14_RS20175	D5R57_RS20965	STM3821	SL1344_RS19670	STM474_RS19670
STM14_RS20170	D5R57_RS20960	STM3820	SL1344_RS19665	STM474_RS19665
STM14_RS20165	D5R57_RS20955	STM3819	SL1344_RS19660	STM474_RS19660
STM14_RS20160	D5R57_RS20950	STM3818	SL1344_RS19655	STM474_RS19655
STM14_RS20155	D5R57_RS20945	STM3817	SL1344_RS19650	STM474_RS19650
STM14_RS20150	D5R57_RS20940	STM3816	SL1344_RS19645	STM474_RS19645
STM14_RS20145	D5R57_RS20935	STM3815	SL1344_RS19640	STM474_RS19640
STM14_RS20140	D5R57_RS20930	STM3814	SL1344_RS19635	STM474_RS19635
STM14_RS20135	D5R57_RS20925	STM3813	SL1344_RS19630	STM474_RS19630
STM14_RS20130	D5R57_RS20920	STM3812	SL1344_RS19625	STM474_RS19625
STM14_RS20125	D5R57_RS20915	STM3811	SL1344_RS19620	STM474_RS19620
STM14_RS20115	D5R57_RS20905	STM3809	SL1344_RS19610	STM474_RS19610
STM14_RS20110	D5R57_RS20900	STM3808	SL1344_RS19605	STM474_RS19605
STM14_RS20105	D5R57_RS20895	STM3807	SL1344_RS19600	STM474_RS19600
STM14_RS20100	D5R57_RS20890	STM3805	SL1344_RS19595	STM474_RS19595
STM14_RS20095	D5R57_RS20885	STM3804	SL1344_RS19590	STM474_RS19590
STM14_RS20090	D5R57_RS20880	STM3803	SL1344_RS19585	STM474_RS19585
STM14_RS20075	D5R57_RS20865	STM3800	SL1344_RS19570	STM474_RS19570
STM14_RS20070	D5R57_RS20860	STM3799	SL1344_RS19565	STM474_RS19565
STM14_RS20050	D5R57_RS20835	STM3797	SL1344_RS19545	STM474_RS19545
STM14_RS20045	D5R57_RS20830	STM3796	SL1344_RS19540	STM474_RS19540
STM14_RS20040	D5R57_RS20825	STM3795	SL1344_RS19535	STM474_RS19535
STM14_RS20030	D5R57_RS20815	STM3793	SL1344_RS19525	STM474_RS19525
STM14_RS20025	D5R57_RS20810	STM3792	SL1344_RS19520	STM474_RS19520
STM14_RS20020	D5R57_RS20805	STM3791	SL1344_RS19515	STM474_RS19515
STM14_RS20015	D5R57_RS20800	STM3790	SL1344_RS19510	STM474_RS19510
STM14_RS20010	D5R57_RS20795	STM3789	SL1344_RS19505	STM474_RS19505
STM14_RS20005	D5R57_RS20790	STM3788	SL1344_RS19500	STM474_RS19500
STM14_RS20000	D5R57_RS20785	STM3787	SL1344_RS19495	STM474_RS19495
STM14_RS19995	D5R57_RS20780	STM3786	SL1344_RS19490	STM474_RS19490
STM14_RS19990	D5R57_RS20775	STM3785	SL1344_RS19485	STM474_RS19485
STM14_RS19985	D5R57_RS20770	STM3784	SL1344_RS19480	STM474_RS19480
STM14_RS19980	D5R57_RS20765	STM3783	SL1344_RS19475	STM474_RS19475
STM14_RS19975	D5R57_RS20760	STM3782	SL1344_RS19470	STM474_RS19470
STM14_RS19970	D5R57_RS20755	STM3781	SL1344_RS19465	STM474_RS19465
STM14_RS19965	D5R57_RS20750	STM3780	SL1344_RS19460	STM474_RS19460
STM14_RS19960	D5R57_RS20745	STM3779	SL1344_RS19455	STM474_RS19455
STM14_RS19930	D5R57_RS20715	STM3773	SL1344_RS19425	STM474_RS19425
STM14_RS19925	D5R57_RS20705	STM3772	SL1344_RS19420	STM474_RS19420
STM14_RS19920	D5R57_RS20700	STM3771	SL1344_RS19415	STM474_RS19415
STM14_RS19915	D5R57_RS20695	STM3770	SL1344_RS19410	STM474_RS19410
STM14_RS19910	D5R57_RS20690	STM3769	SL1344_RS19405	STM474_RS19405
STM14_RS19900	D5R57_RS20680	STM3767	SL1344_RS19395	STM474_RS19395
STM14_RS19895	D5R57_RS20675	STM3766	SL1344_RS19390	STM474_RS19390
STM14_RS19885	D5R57_RS20665	STM3764	SL1344_RS19380	STM474_RS19380
STM14_RS19880	D5R57_RS20660	STM3763	SL1344_RS19375	STM474_RS19375
STM14_RS19875	D5R57_RS20650	STM3762	SL1344_RS19370	STM474_RS19370
STM14_RS19865	D5R57_RS20630	STM3759	SL1344_RS19360	STM474_RS19360
STM14_RS19860	D5R57_RS20625	STM3758	SL1344_RS19355	STM474_RS19355
STM14_RS19830	D5R57_RS20580	STM3752	SL1344_RS19325	STM474_RS19325
STM14_RS19820	D5R57_RS20570	STM3750	SL1344_RS19315	STM474_RS19315
STM14_RS19815	D5R57_RS20565	STM3749	SL1344_RS19310	STM474_RS19310
STM14_RS19800	D5R57_RS20550	STM3746	SL1344_RS19295	STM474_RS19295
STM14_RS19765	D5R57_RS20515	STM3739	SL1344_RS19260	STM474_RS19260
STM14_RS19750	D5R57_RS20495	STM3736	SL1344_RS19245	STM474_RS19245
STM14_RS19740	D5R57_RS20480	STM3734	SL1344_RS19235	STM474_RS19235
STM14_RS19735	D5R57_RS20475	STM3733	SL1344_RS19230	STM474_RS19230
STM14_RS19715	D5R57_RS20455	STM3729	SL1344_RS19210	STM474_RS19210
STM14_RS19710	D5R57_RS20450	STM3728	SL1344_RS19205	STM474_RS19205
STM14_RS19705	D5R57_RS20445	STM3727	SL1344_RS19200	STM474_RS19200
STM14_RS19700	D5R57_RS20440	STM3726	SL1344_RS19195	STM474_RS19195
STM14_RS19685	D5R57_RS20425	STM3723	SL1344_RS19180	STM474_RS19180
STM14_RS19680	D5R57_RS20420	STM3722	SL1344_RS19175	STM474_RS19175
STM14_RS19675	D5R57_RS20415	STM3721	SL1344_RS19170	STM474_RS19170
STM14_RS19665	D5R57_RS20400	STM3719	SL1344_RS19160	STM474_RS19160
STM14_RS19660	D5R57_RS20395	STM3718	SL1344_RS19155	STM474_RS19155
STM14_RS19655	D5R57_RS20390	STM3717	SL1344_RS19150	STM474_RS19150
STM14_RS19650	D5R57_RS20385	STM3716	SL1344_RS19145	STM474_RS19145
STM14_RS19645	D5R57_RS20380	STM3715	SL1344_RS19140	STM474_RS19140
STM14_RS19640	D5R57_RS20375	STM3714	SL1344_RS19135	STM474_RS19135
STM14_RS19615	D5R57_RS20350	STM3709	SL1344_RS19110	STM474_RS19110
STM14_RS19610	D5R57_RS20345	STM3708	SL1344_RS19105	STM474_RS19105
STM14_RS19605	D5R57_RS20340	STM3707	SL1344_RS19100	STM474_RS19100
STM14_RS19585	D5R57_RS20320	STM3703	SL1344_RS19080	STM474_RS19080
STM14_RS19580	D5R57_RS20315	STM3702	SL1344_RS19075	STM474_RS19075
STM14_RS19575	D5R57_RS20310	STM3701	SL1344_RS19070	STM474_RS19070
STM14_RS19570	D5R57_RS20305	STM3700	SL1344_RS19065	STM474_RS19065
STM14_RS19565	D5R57_RS20300	STM3699	SL1344_RS19060	STM474_RS19060
STM14_RS19550	D5R57_RS20280	STM3696	SL1344_RS19045	STM474_RS19045
STM14_RS19510	D5R57_RS20240	STM3688	SL1344_RS19005	STM474_RS19005
STM14_RS19490	D5R57_RS20215	STM3684	SL1344_RS18985	STM474_RS18985
STM14_RS19485	D5R57_RS20210	STM3683	SL1344_RS18980	STM474_RS18980
STM14_RS19480	D5R57_RS20205	STM3682	SL1344_RS18975	STM474_RS18975
STM14_RS19470	D5R57_RS20195	STM3680	SL1344_RS18965	STM474_RS18965
STM14_RS19460	D5R57_RS20185	STM3678	SL1344_RS18955	STM474_RS18955
STM14_RS19405	D5R57_RS20130	STM3667	SL1344_RS18900	STM474_RS18900
STM14_RS19400	D5R57_RS20125	STM3666	SL1344_RS18895	STM474_RS18895
STM14_RS19380	D5R57_RS20105	STM3663	SL1344_RS18875	STM474_RS18875
STM14_RS19370	D5R57_RS20090	STM3661	SL1344_RS18865	STM474_RS18865
STM14_RS19365	D5R57_RS20085	STM3660	SL1344_RS18860	STM474_RS18860
STM14_RS19360	D5R57_RS20080	STM3659	SL1344_RS18855	STM474_RS18855
STM14_RS19350	D5R57_RS20065	STM3657	SL1344_RS18845	STM474_RS18845
STM14_RS19345	D5R57_RS20060	STM3656	SL1344_RS18840	STM474_RS18840
STM14_RS19340	D5R57_RS20055	STM3655	SL1344_RS18835	STM474_RS18835
STM14_RS19335	D5R57_RS20045	STM3653	SL1344_RS18830	STM474_RS18830
STM14_RS19330	D5R57_RS20040	STM3652	SL1344_RS18825	STM474_RS18825
STM14_RS19325	D5R57_RS20035	STM3651	SL1344_RS18820	STM474_RS18820
STM14_RS19305	D5R57_RS20015	STM3647	SL1344_RS18800	STM474_RS18800
STM14_RS19290	D5R57_RS20000	STM3644	SL1344_RS18785	STM474_RS18785
STM14_RS19275	D5R57_RS19985	STM3641	SL1344_RS18770	STM474_RS18770
STM14_RS19270	D5R57_RS19980	STM3640	SL1344_RS18765	STM474_RS18765
STM14_RS19265	D5R57_RS19975	STM3639	SL1344_RS18760	STM474_RS18760
STM14_RS19260	D5R57_RS19970	STM3638	SL1344_RS18755	STM474_RS18755
STM14_RS19250	D5R57_RS19960	STM3636	SL1344_RS18745	STM474_RS18745
STM14_RS19245	D5R57_RS19955	STM3635	SL1344_RS18740	STM474_RS18740
STM14_RS19225	D5R57_RS19935	STM3632	SL1344_RS18720	STM474_RS18720
STM14_RS19220	D5R57_RS19930	STM3631	SL1344_RS18715	STM474_RS18715
STM14_RS19215	D5R57_RS19925	STM3630	SL1344_RS18710	STM474_RS18710
STM14_RS19210	D5R57_RS19920	STM3629	SL1344_RS18705	STM474_RS18705
STM14_RS19205	D5R57_RS19915	STM3628	SL1344_RS18700	STM474_RS18700
STM14_RS19200	D5R57_RS19910	STM3627	SL1344_RS18695	STM474_RS18695
STM14_RS19195	D5R57_RS19905	STM3626	SL1344_RS18690	STM474_RS18690
STM14_RS19160	D5R57_RS19870	STM3621	SL1344_RS18655	STM474_RS18655
STM14_RS19155	D5R57_RS19865	STM3620	SL1344_RS18650	STM474_RS18650
STM14_RS19150	D5R57_RS19860	STM3619	SL1344_RS18645	STM474_RS18645
STM14_RS19145	D5R57_RS19855	STM3618	SL1344_RS18640	STM474_RS18640
STM14_RS19140	D5R57_RS19850	STM3617	SL1344_RS18635	STM474_RS18635
STM14_RS19135	D5R57_RS19845	STM3616	SL1344_RS18630	STM474_RS18630
STM14_RS19130	D5R57_RS19835	STM3615	SL1344_RS18625	STM474_RS18625
STM14_RS19125	D5R57_RS19830	STM3614	SL1344_RS18620	STM474_RS18620
STM14_RS19120	D5R57_RS19825	STM3613	SL1344_RS18615	STM474_RS18615
STM14_RS19110	D5R57_RS19815	STM3611	SL1344_RS18605	STM474_RS18605
STM14_RS19105	D5R57_RS19810	STM3610	SL1344_RS18600	STM474_RS18600
STM14_RS19085	D5R57_RS19790	STM3606	SL1344_RS18580	STM474_RS18580
STM14_RS19075	D5R57_RS19780	STM3604	SL1344_RS18570	STM474_RS18570
STM14_RS19065	D5R57_RS19770	STM3602	SL1344_RS18560	STM474_RS18560
STM14_RS19060	D5R57_RS19765	STM3601	SL1344_RS18555	STM474_RS18555
STM14_RS19055	D5R57_RS19760	STM3600	SL1344_RS18550	STM474_RS18550
STM14_RS19050	D5R57_RS19755	STM3599	SL1344_RS18545	STM474_RS18545
STM14_RS19045	D5R57_RS19750	STM3598	SL1344_RS18540	STM474_RS18540
STM14_RS19030	D5R57_RS19735	STM3595	SL1344_RS18525	STM474_RS18525
STM14_RS19025	D5R57_RS19730	STM3594	SL1344_RS18520	STM474_RS18520
STM14_RS19020	D5R57_RS19725	STM3593	SL1344_RS18515	STM474_RS18515
STM14_RS19005	D5R57_RS19710	STM3590	SL1344_RS18500	STM474_RS18500
STM14_RS18995	D5R57_RS19700	STM3588	SL1344_RS18490	STM474_RS18490
STM14_RS18990	D5R57_RS19695	STM3587	SL1344_RS18485	STM474_RS18485
STM14_RS18985	D5R57_RS19690	STM3586	SL1344_RS18480	STM474_RS18480
STM14_RS18980	D5R57_RS19685	STM3585	SL1344_RS18475	STM474_RS18475
STM14_RS18960	D5R57_RS19665	STM3581	SL1344_RS18455	STM474_RS18455
STM14_RS18945	D5R57_RS19650	STM3578	SL1344_RS18440	STM474_RS18440
STM14_RS18925	D5R57_RS19630	STM3574	SL1344_RS18420	STM474_RS18420
STM14_RS18910	D5R57_RS19615	STM3571	SL1344_RS18405	STM474_RS18405
STM14_RS18905	D5R57_RS19610	STM3570	SL1344_RS18400	STM474_RS18400
STM14_RS18900	D5R57_RS19605	STM3569	SL1344_RS18395	STM474_RS18395
STM14_RS18895	D5R57_RS19600	STM3568	SL1344_RS18390	STM474_RS18390
STM14_RS18875	D5R57_RS19580	STM3564	SL1344_RS18370	STM474_RS18370
STM14_RS18870	D5R57_RS19575	STM3563	SL1344_RS18365	STM474_RS18365
STM14_RS18865	D5R57_RS19570	STM3562	SL1344_RS18360	STM474_RS18360
STM14_RS18860	D5R57_RS19565	STM3561	SL1344_RS18355	STM474_RS18355
STM14_RS18855	D5R57_RS19560	STM3560	SL1344_RS18350	STM474_RS18350
STM14_RS18850	D5R57_RS19555	STM3559	SL1344_RS18345	STM474_RS18345
STM14_RS18845	D5R57_RS19550	STM3558	SL1344_RS18340	STM474_RS18340
STM14_RS18840	D5R57_RS19545	STM3557	SL1344_RS18335	STM474_RS18335
STM14_RS18835	D5R57_RS19540	STM3556	SL1344_RS18330	STM474_RS18330
STM14_RS18830	D5R57_RS19535	STM3555	SL1344_RS18325	STM474_RS18325
STM14_RS18825	D5R57_RS19530	STM3554	SL1344_RS18320	STM474_RS18320
STM14_RS18820	D5R57_RS19525	STM3553	SL1344_RS18315	STM474_RS18315
STM14_RS18810	D5R57_RS19515	STM3551	SL1344_RS18305	STM474_RS18305
STM14_RS18780	D5R57_RS19485	STM3545	SL1344_RS18275	STM474_RS18275
STM14_RS18775	D5R57_RS19480	STM3544	SL1344_RS18270	STM474_RS18270
STM14_RS18770	D5R57_RS19475	STM3543	SL1344_RS18265	STM474_RS18265
STM14_RS18765	D5R57_RS19470	STM3542	SL1344_RS18260	STM474_RS18260
STM14_RS18760	D5R57_RS19465	STM3541	SL1344_RS18255	STM474_RS18255
STM14_RS18755	D5R57_RS19455	STM3539	SL1344_RS18250	STM474_RS18250
STM14_RS18750	D5R57_RS19450	STM3538	SL1344_RS18245	STM474_RS18245
STM14_RS18745	D5R57_RS19445	STM3537	SL1344_RS18240	STM474_RS18240
STM14_RS18740	D5R57_RS19440	STM3536	SL1344_RS18235	STM474_RS18235
STM14_RS18735	D5R57_RS19435	STM3535	SL1344_RS18230	STM474_RS18230
STM14_RS18730	D5R57_RS19430	STM3534	SL1344_RS18225	STM474_RS18225
STM14_RS18725	D5R57_RS19425	STM3533	SL1344_RS18220	STM474_RS18220
STM14_RS18705	D5R57_RS19405	STM3529	SL1344_RS18200	STM474_RS18200
STM14_RS18700	D5R57_RS19400	STM3528	SL1344_RS18195	STM474_RS18195
STM14_RS18695	D5R57_RS19395	STM3527	SL1344_RS18190	STM474_RS18190
STM14_RS18685	D5R57_RS19385	STM3525	SL1344_RS18180	STM474_RS18180
STM14_RS18680	D5R57_RS19380	STM3524	SL1344_RS18175	STM474_RS18175
STM14_RS18665	D5R57_RS19365	STM3521	SL1344_RS18160	STM474_RS18160
STM14_RS18660	D5R57_RS19360	STM3519	SL1344_RS18155	STM474_RS18155
STM14_RS18655	D5R57_RS19355	STM3518	SL1344_RS18150	STM474_RS18150
STM14_RS18650	D5R57_RS19350	STM3517	SL1344_RS18145	STM474_RS18145
STM14_RS18645	D5R57_RS19345	STM3516	SL1344_RS18140	STM474_RS18140
STM14_RS18635	D5R57_RS19335	STM3514	SL1344_RS18130	STM474_RS18130
STM14_RS18630	D5R57_RS19330	STM3513	SL1344_RS18125	STM474_RS18125
STM14_RS18610	D5R57_RS19310	STM3509	SL1344_RS18105	STM474_RS18105
STM14_RS18575	D5R57_RS19270	STM3502	SL1344_RS18070	STM474_RS18070
STM14_RS18570	D5R57_RS19265	STM3501	SL1344_RS18065	STM474_RS18065
STM14_RS18560	D5R57_RS19255	STM3499	SL1344_RS18055	STM474_RS18055
STM14_RS18535	D5R57_RS19230	STM3494	SL1344_RS18030	STM474_RS18030
STM14_RS18525	D5R57_RS19220	STM3492	SL1344_RS18020	STM474_RS18020
STM14_RS18520	D5R57_RS19215	STM3491	SL1344_RS18015	STM474_RS18015
STM14_RS18515	D5R57_RS19210	STM3490	SL1344_RS18010	STM474_RS18010
STM14_RS18510	D5R57_RS19205	STM3489	SL1344_RS18005	STM474_RS18005
STM14_RS18505	D5R57_RS19200	STM3488	SL1344_RS18000	STM474_RS18000
STM14_RS18500	D5R57_RS19190	STM3487	SL1344_RS17995	STM474_RS17995
STM14_RS18495	D5R57_RS19185	STM3486	SL1344_RS17990	STM474_RS17990
STM14_RS18490	D5R57_RS19180	STM3485	SL1344_RS17985	STM474_RS17985
STM14_RS18485	D5R57_RS19175	STM3484	SL1344_RS17980	STM474_RS17980
STM14_RS18480	D5R57_RS19170	STM3483	SL1344_RS17975	STM474_RS17975
STM14_RS18475	D5R57_RS19165	STM3482	SL1344_RS17970	STM474_RS17970
STM14_RS18470	D5R57_RS19160	STM3481	SL1344_RS17965	STM474_RS17965
STM14_RS18425	D5R57_RS19110	STM3472	SL1344_RS17920	STM474_RS17920
STM14_RS18420	D5R57_RS19105	STM3471	SL1344_RS17915	STM474_RS17915
STM14_RS18415	D5R57_RS19100	STM3470	SL1344_RS17910	STM474_RS17910
STM14_RS18410	D5R57_RS19095	STM3469	SL1344_RS17905	STM474_RS17905
STM14_RS18405	D5R57_RS19090	STM3468	SL1344_RS17900	STM474_RS17900
STM14_RS18390	D5R57_RS19075	STM3465	SL1344_RS17885	STM474_RS17885
STM14_RS18370	D5R57_RS19055	STM3461	SL1344_RS17865	STM474_RS17865
STM14_RS18355	D5R57_RS19040	STM3458	SL1344_RS17850	STM474_RS17850
STM14_RS18350	D5R57_RS19035	STM3457	SL1344_RS17845	STM474_RS17845
STM14_RS18345	D5R57_RS19030	STM3456	SL1344_RS17840	STM474_RS17840
STM14_RS18340	D5R57_RS19025	STM3455	SL1344_RS17835	STM474_RS17835
STM14_RS18330	D5R57_RS19015	STM3453	SL1344_RS17825	STM474_RS17825
STM14_RS18325	D5R57_RS19010	STM3452	SL1344_RS17820	STM474_RS17820
STM14_RS18320	D5R57_RS19005	STM3451	SL1344_RS17815	STM474_RS17815
STM14_RS18315	D5R57_RS19000	STM3450	SL1344_RS17810	STM474_RS17810
STM14_RS18310	D5R57_RS18995	STM3449	SL1344_RS17805	STM474_RS17805
STM14_RS18305	D5R57_RS18990	STM3448	SL1344_RS17800	STM474_RS17800
STM14_RS18300	D5R57_RS18985	STM3447	SL1344_RS17795	STM474_RS17795
STM14_RS18295	D5R57_RS18980	STM3446	SL1344_RS17790	STM474_RS17790
STM14_RS18285	D5R57_RS18960	STM3444	SL1344_RS17780	STM474_RS17780
STM14_RS18280	D5R57_RS18955	STM3443	SL1344_RS17775	STM474_RS17775
STM14_RS18270	D5R57_RS18940	STM3441	SL1344_RS17765	STM474_RS17765
STM14_RS18265	D5R57_RS18935	STM3440	SL1344_RS17760	STM474_RS17760
STM14_RS18260	D5R57_RS18930	STM3439	SL1344_RS17755	STM474_RS17755
STM14_RS18255	D5R57_RS18925	STM3438	SL1344_RS17750	STM474_RS17750
STM14_RS18250	D5R57_RS18920	STM3437	SL1344_RS17745	STM474_RS17745
STM14_RS18245	D5R57_RS18915	STM3436	SL1344_RS17740	STM474_RS17740
STM14_RS18240	D5R57_RS18910	STM3435	SL1344_RS17735	STM474_RS17735
STM14_RS18235	D5R57_RS18905	STM3434	SL1344_RS17730	STM474_RS17730
STM14_RS18230	D5R57_RS18900	STM3433	SL1344_RS17725	STM474_RS17725
STM14_RS18225	D5R57_RS18895	STM3432	SL1344_RS17720	STM474_RS17720
STM14_RS18220	D5R57_RS18890	STM3431	SL1344_RS17715	STM474_RS17715
STM14_RS18215	D5R57_RS18885	STM3430	SL1344_RS17710	STM474_RS17710
STM14_RS18210	D5R57_RS18880	STM3429	SL1344_RS17705	STM474_RS17705
STM14_RS18205	D5R57_RS18875	STM3428	SL1344_RS17700	STM474_RS17700
STM14_RS18200	D5R57_RS18870	STM3427	SL1344_RS17695	STM474_RS17695
STM14_RS18195	D5R57_RS18865	STM3426	SL1344_RS17690	STM474_RS17690
STM14_RS18190	D5R57_RS18860	STM3425	SL1344_RS17685	STM474_RS17685
STM14_RS18185	D5R57_RS18855	STM3424	SL1344_RS17680	STM474_RS17680
STM14_RS18180	D5R57_RS18850	STM3423	SL1344_RS17675	STM474_RS17675
STM14_RS18175	D5R57_RS18845	STM3422	SL1344_RS17670	STM474_RS17670
STM14_RS18170	D5R57_RS18840	STM3421	SL1344_RS17665	STM474_RS17665
STM14_RS18165	D5R57_RS18835	STM3420	SL1344_RS17660	STM474_RS17660
STM14_RS18160	D5R57_RS18830	STM3419	SL1344_RS17655	STM474_RS17655
STM14_RS18155	D5R57_RS18825	STM3418	SL1344_RS17650	STM474_RS17650
STM14_RS18150	D5R57_RS18820	STM3417	SL1344_RS17645	STM474_RS17645
STM14_RS18145	D5R57_RS18815	STM3416	SL1344_RS17640	STM474_RS17640
STM14_RS18140	D5R57_RS18810	STM3415	SL1344_RS17635	STM474_RS17635
STM14_RS18135	D5R57_RS18805	STM3414	SL1344_RS17630	STM474_RS17630
STM14_RS18130	D5R57_RS18800	STM3413	SL1344_RS17625	STM474_RS17625
STM14_RS18125	D5R57_RS18795	STM3412	SL1344_RS17620	STM474_RS17620
STM14_RS18120	D5R57_RS18790	STM3411	SL1344_RS17615	STM474_RS17615
STM14_RS18090	D5R57_RS18760	STM3405	SL1344_RS17585	STM474_RS17585
STM14_RS18085	D5R57_RS18755	STM3404	SL1344_RS17580	STM474_RS17580
STM14_RS18080	D5R57_RS18750	STM3403	SL1344_RS17575	STM474_RS17575
STM14_RS18075	D5R57_RS18745	STM3402	SL1344_RS17570	STM474_RS17570
